line,division,day_type,day_type_label,month,month_date,year,period,otp_pct,on_time,scheduled
6,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.490907553,5804,11823
7,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.821491531,10718,13047
S 42nd,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.988482724,13818,13979
A,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.629500581,4878,7749
B,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.666897827,2885,4326
C,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.674047619,2831,4200
D,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.651622258,3595,5517
E,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.661538462,5547,8385
F,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.598175228,4786,8001
G,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.800533689,4800,5996
JZ,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.643113159,3768,5859
L,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.913814239,9691,10605
M,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.665608466,3774,5670
N,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.592177778,3331,5625
Q,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.662351113,3837,5793
R,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.564338235,3377,5984
S Fkln,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.993139629,2461,2478
S Rock,B DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.927314026,1633,1761
1,A DIVISION,1,Weekday,2016-10-01,2016-10-01T00:00:00Z,2016,2015-2019,0.648443195,6227,9603
2,A DIVISION,1,Weekday,2016-10-01,2016-10-01T00:00:00Z,2016,2015-2019,0.361818182,2587,7150
